negative,objective,"- (not specific with this computer) windows 8 is less user friendly, the touchscreen is useless and less convenient (the screen gets dirty all the time)"
negative,objective,-- ASUS G75VW SHUT DOWN PROBLEMS--
negative,subjective,Too bad Apple is so expensive
positive,subjective,8 GB RAM is awesome
positive,subjective,Great for watching movies and browsing the web
positive,subjective,Very good product for the price
positive,subjective,"However, I thought I'd mention that it seems to work very well, although some of the games like to crash - not sure if that's the computer or not"
positive,subjective,I was expecting a fast processing no lagging/bugging brand new laptop but i guess not everything is perfect
positive,subjective,Good laptop Idont understand the whole 2 hardrive thing but i like it overall
positive,subjective,"Great price, great value"
positive,subjective,"I have it running as if it were a desktop computer, with the lid closed and a keyboard, mouse, and monitor plugged in, along with always running with the charger"
positive,subjective,I am impressed with how cool it stays while running
positive,subjective,"For the price I'm rating this lightweight, functional and highly portable device 4 stars"
positive,subjective,"Amazingly, the notebook comes with HDMI AND VGA graphic interface plugs"
positive,subjective,Light weight too
positive,subjective,Nice that a DVD internal drive is included
positive,subjective,well atleast it came with the thing to connect the projector
positive,subjective,However i wish it had the CD drive
positive,subjective,This computer is good for its price
positive,subjective,Works well for our purpose
positive,subjective,Nice inexpensive lap top
positive,subjective,"Have only had the computer for a couple months, but it is working well"
positive,subjective,And be sure to upgrade to Win 8
positive,subjective,"Other than a positivesible hard drive upgrade, it should work fine as is"
positive,subjective,Would recommend going to 8 Gb of Ram
positive,subjective,The touchpad is very useful for Win 8
positive,subjective,I immediately added a software-based hard drive indicator light in the tray
positive,subjective,But the touchpad is designed for Win8 and all the good features reside there
positive,subjective,"Firstly, it is a fast unit, but will benefit greatly from a SSD drive or at least a hybrid (I swapped in a hybrid and it boots quickly and loads applications fast)"
positive,subjective,Not a big fan of the touch pad (noisy to use) but everything else is going good
positive,subjective,"I adjusted the settings to make it less sensitive, turned off tapping (I hate it), and now I like the track pad"
positive,subjective,Even my $8 desktop keyboard has them
positive,subjective,I replaced the HDD with an SSD and it's very fast (faster than an i3 desktop)
positive,subjective,Overall: I would stick to a T-class Lenovo if purchasing that brand ever again (if ever)
positive,subjective,It does not look clunky when open or closed
positive,subjective,It is a plastic build with nice lines
positive,subjective,The T420 has a much better display by comparison and I know that this is not a T-class machine but I expected something even slightly better than what I got
positive,subjective,"In the store, it really did not appear as poor as it really is in daily use so I hook it up to a secondary monitor and use that instead"
positive,subjective,"Those on the Lenovo T420, for example, are sturdy and offer a nice feel when using them"
positive,subjective,All I need to do now is upgrade the screen
positive,subjective,I then installed Windows 8
positive,subjective,Keyboard has good responsive clicks
positive,subjective,I plan to upgrade it with better HDD in the future and to 16GB
positive,subjective,"I upgraded memory with an additional 8GB(now 12GB) and got a very strong, very fast, cost efficient PC"
positive,subjective,The keyboard is responsive and I like that there is no latch to open the computer
positive,subjective,(I prefer a mouse for editing)
positive,subjective,"I'm not a fan of the single large touchpad, but I got used to it"
positive,subjective,"This is the first time ever that I did not purchase and/or setup a Dell machine, and I must say, it was a pleasant change"
positive,subjective,"Very nice computer, but dear sweet gods did it come with a crapton of bloatware/adware"
positive,subjective,Display - Very sharp and clear
positive,subjective,Pretty slick feature
positive,subjective,The keyboard on this laptop is very well made
positive,subjective,"So having a good keyboard for new laptop was important to me, especially because I use MS Word often"
positive,subjective,Keyboard - It's excellent
positive,subjective,So far the computer works very well
positive,subjective,good lap top for the money
positive,subjective,"Although the camera isn't as good as I had hoped, this computer's speed is perfect for doing webinars on Google Hangout"
positive,subjective,"The touch screen works quite well, I'd say 95% of the time"
positive,subjective,The battery is decent
positive,subjective,The backlit keys are awesome and I really enjoy those
positive,subjective,The speed is great and it boots up really quickly
positive,subjective,"Overall, I think this is a great laptop that is well worth the price"
positive,subjective,I have watched movies on it as well and those look pretty great
positive,subjective,"It feels very solid, while still being light"
positive,subjective,The battery life is much better than i expected
positive,subjective,"If the specs are what you're looking for, I recommend it"
positive,subjective,"(I'm familiar with touchscreens and apps, but if someone wasn't, Windows 8"
positive,subjective,"1 took some getting used to, but after messing around with it for a few hours I don't mind it at all (I went from Windows 7 to 8"
